,data,Inv_CINEMA,Impr_CINEMA,Inv_CONNECTEDTV,Impr_CONNECTEDTV,Inv_DISPLAY,Impr_DISPLAY,Inv_OOH,Impr_OOH,Inv_OPENTV,Impr_OPENTV,Inv_PAIDTV,Impr_PAIDTV,Inv_PROGRAMATICA,Impr_PROGRAMATICA,Inv_RADIO,Impr_RADIO,Inv_REVISTA,Impr_REVISTA,Inv_SEARCH,Impr_SEARCH,Inv_SOCIAL,Impr_SOCIAL,Inv_YOUTUBE,Impr_YOUTUBE,ipca,desemprego,indice_confianca_consumidor,leads
0,2023-01-01,0,0,"7,838.78",77607,"20,688.17",3435598,0.00,0,"440,003.20",0,"38,786.40",0,0,0,0,0,0.00,0,"39,335.69",101728,948.69,102836,0,0,0.0054,0.088,125.38,138
1,2023-01-02,0,0,"9,026.01",89362,"23,423.94",2226043,"7,911.47",0,"709,436",0,"18,752.80",0,0,0,0,0,0.00,0,"48,717.05",129620,"8,842.30",2065196,0,0,0.0054,0.088,125.38,304
2,2023-01-03,0,0,"8,150.04",80690,"26,549.45",6112203,"7,911.47",0,0.00,0,"18,752.80",0,"2,811.05",1515078,0,0,0.00,0,"46,535.32",125131,"31,591.34",9315179,0,0,0.0054,0.088,125.38,422
3,2023-01-04,0,0,"8,201.10",81205,"38,080.94",6338938,"7,911.47",0,0.00,0,"18,752.80",0,"17,143.50",9500682,0,0,0.00,0,"45,756.07",150522,"41,395.61",10780715,"1,970.81",467998,0.0054,0.088,125.38,341
4,2023-01-05,"11,934.31",0,"8,050.09",79703,"36,964.51",11614856,"7,911.47",0,0.00,0,"18,752.80",0,"17,536.34",11916143,0,0,0.00,0,"45,878.74",131764,"45,053.00",10915591,"6,299.75",1841105,0.0054,0.088,125.38,318
5,2023-01-06,"11,934.31",0,"8,357.68",82751,"33,146.61",6471588,"7,911.47",0,0,0,"14,880",0,"15,231.14",10647012,0,0,0.00,0,"40,150.32",119200,"48,844.84",11549438,"5,398.05",1375426,0.0054,0.088,125.38,316
6,2023-01-07,"11,934.31",0,"8,159.98",80798,"36,310.89",6433239,"7,911.47",0,0,0,"8,736",0,"17,305.26",12917962,0,0,0.00,0,"42,218.70",118545,"52,735.16",14087631,"5,391.83",1561115,0.0054,0.088,125.38,275
7,2023-01-08,"11,934.31",0,"8,081.78",80027,"37,342.70",5210013,"7,911.47",0,0,0,"8,736",0,"18,128.06",13894803,0,0,0.00,0,"40,862.55",122421,"54,580.37",16570210,"5,327.80",1467230,0.0054,0.088,125.38,242
8,2023-01-09,"11,934.31",0,"7,977.61",78988,"27,468.17",4909433,"32,631.47",0,0,0,"8,736",0,"20,723.75",15172350,0,0,0.00,0,"48,868.33",125242,"49,587.40",14359568,"5,717.92",1671425,0.0054,0.088,125.38,267
9,2023-01-10,"11,934.31",0,"8,129.65",80490,"23,745.72",3528406,"32,631.47",0,0,0,"8,736",0,"20,391.94",15080808,0,0,0.00,0,"48,819.40",128653,"52,295.87",12776028,"5,467.07",1683224,0.0054,0.088,125.38,318
10,2023-01-11,"11,934.31",0,"8,360.29",82770,"27,606.00",4672958,"50,425.76",0,0,0,"8,736",0,"19,325.26",14644484,0,0,0.00,0,"38,085.88",118077,"51,218.37",12013909,"5,763.21",1679758,0.0054,0.088,125.38,274
11,2023-01-12,"11,934.31",0,"7,851.60",77745,"21,475.23",3980746,"50,425.76",0,0,0,"8,736",0,"23,602.74",17744453,0,0,0.00,0,"48,105.97",134834,"51,208.30",11473777,"4,618.65",1636029,0.0054,0.088,125.38,273
12,2023-01-13,"11,934.31",0,"2,295.14",22781,"25,373.17",5111987,"50,425.76",0,0,0,"8,736",0,"24,956.38",18758070,0,0,0.00,0,"48,308.96",131178,"51,341.54",10846817,"4,506.95",1518569,0.0054,0.088,125.38,258
13,2023-01-14,"11,934.31",0,"1,447.34",14400,"25,083.63",4292391,"50,425.76",0,0,0,"8,736",0,"25,092.63",17468230,0,0,0.00,0,"44,968.53",126027,"53,406.85",11516276,"4,458.96",1559219,0.0054,0.088,125.38,251
14,2023-01-15,"11,934.31",0,"1,986.25",19737,"23,974.82",4600270,"50,425.76",0,0,0,"8,736",0,"23,472.40",14938650,0,0,0.00,0,"47,206.99",128119,"55,648.63",12335899,"4,460.09",1381648,0.0054,0.088,125.38,268
15,2023-01-16,"11,934.31",0,"1,906.90",18944,"21,583.99",5442744,"65,050.76",0,0,0,"8,736",0,"23,609.40",14981057,0,0,0.00,0,"47,075.66",131575,"54,356.87",11937705,"4,466.59",1374229,0.0054,0.088,125.38,289
16,2023-01-17,"11,934.31",0,"2,178.74",21632,"20,127.94",4390051,"65,050.76",0,0,0,"8,736",0,"22,099.05",15146514,0,0,0.00,0,"47,542.78",133031,"55,985.63",12364411,"4,462.03",1473292,0.0054,0.088,125.38,274
17,2023-01-18,"11,934.31",0,"6,112.59",238593,"23,762.51",4778897,"65,050.76",0,0,0,"8,736",0,"22,791.59",13399008,0,0,0.00,0,"46,698.56",123746,"63,371.67",14028166,"4,463.78",1763017,0.0054,0.088,125.38,277
18,2023-01-19,0,0,"23,892.26",1032411,"26,925.65",4940717,"65,050.76",0,0,0,"8,736",0,"21,695.09",12789186,0,0,0.00,0,"44,632.68",130823,"60,655.27",11853502,"4,465.10",1936185,0.0054,0.088,125.38,284
19,2023-01-20,0,0,"15,140.69",444880,"24,906.43",5312634,"65,050.76",0,0,0,"8,736",0,"21,745.26",12711221,0,0,0.00,0,"48,385.99",137730,"58,335.65",12319149,"4,503.92",1873802,0.0054,0.088,125.38,328
20,2023-01-21,0,0,"15,059.90",447846,"19,362.96",4943312,"65,050.76",0,0,0,"8,736",0,"21,817.72",11952566,0,0,0.00,0,"45,193.57",127837,"58,086.35",10534499,"4,464.03",1765122,0.0054,0.088,125.38,222
21,2023-01-22,0,0,"14,823.06",430780,"19,464.79",4777853,"65,050.76",0,0,0,"8,736",0,"21,231.13",11894078,0,0,0.00,0,"45,449.21",127690,"60,188.04",10870000,"4,464.01",1650784,0.0054,0.088,125.38,240
22,2023-01-23,0,0,"14,798.68",433375,"30,255.47",6326191,"114,035.03",0,0,0,"8,736",0,"22,733.97",13322090,0,0,0.00,0,"46,534.37",133137,"65,229.43",13892849,"4,461.51",1668725,0.0054,0.088,125.38,275
23,2023-01-24,0,0,"14,945.75",437653,"26,626.57",5773016,"152,164.17",0,0,0,"8,736",0,"18,339.27",9929280,0,0,0.00,0,"45,703.62",131003,"72,079.62",13769795,"4,467.27",1695119,0.0054,0.088,125.38,247
24,2023-01-25,0,0,"14,803.76",438136,"22,889.71",4460395,"152,164.17",0,0,0,"8,736",0,"18,534.24",9445503,0,0,0.00,0,"44,046.48",123985,"69,116.97",13441201,"4,471.27",1828061,0.0054,0.088,125.38,231
25,2023-01-26,0,0,"14,508.12",422690,"18,914.17",3779803,"152,164.17",0,0,0,"8,736",0,"17,538.41",9408623,0,0,0.00,0,"47,842.12",131392,"67,253.60",14508844,"4,472.16",1905825,0.0054,0.088,125.38,200
26,2023-01-27,0,0,"15,335.71",429356,"33,576.66",5009989,"152,164.17",0,0,0,"8,736",0,"20,225.46",9412250,0,0,0.00,0,"43,369.09",122668,"64,983.43",14757789,"4,478.09",1777433,0.0054,0.088,125.38,266
27,2023-01-28,0,0,"15,161.53",436668,"24,138.59",3597036,"152,164.17",0,0,0,"8,736",0,"25,762.82",10950867,0,0,0.00,0,"38,190.81",117060,"76,982.55",17779238,"4,482.63",1718340,0.0054,0.088,125.38,300
28,2023-01-29,0,0,"15,323.44",418953,"23,786.16",2817428,"152,164.17",0,0,0,"8,736",0,"25,365.61",10820624,0,0,0.00,0,"37,655.87",116286,"84,157.49",19163047,"4,478.98",1654974,0.0054,0.088,125.38,252
29,2023-01-30,0,0,"14,982.26",416406,"20,511.83",3826947,"234,221.77",0,0,0,"8,736",0,"27,147.24",11352211,0,0,0.00,0,"38,862.48",113884,"87,048.33",21511563,"4,495.90",1473167,0.0054,0.088,125.38,257
30,2023-01-31,0,0,"14,016.29",377399,"27,754.62",4215203,"481,517.77",0,0,0,"8,736",0,"24,244.21",9078410,0,0,0.00,0,"35,946.04",107229,"79,166.52",16161131,"5,079.46",1676438,0.0054,0.088,125.38,275
31,2023-02-01,0,0,365.40,4189,"32,365.36",6054890,"35,598.22",0,0.00,0,"18,752.80",0,"15,272.24",6563678,0,0,0.00,0,"40,207.78",113573,"31,175.11",8369773,"2,454.60",807814,0.0101,0.088,128.78,257
32,2023-02-02,0,0,349.15,3644,"29,307.21",5056339,"35,598.22",0,0.00,0,"19,166.40",0,"15,591.05",7455648,0,0,0.00,0,"44,263.33",123705,"42,669.59",8491580,"2,450.02",751815,0.0101,0.088,128.78,233
