data,Inv_CONNECTEDTV,Impr_CONNECTEDTV,Inv_DISPLAY,Impr_DISPLAY,Inv_OPENTV,Impr_OPENTV,Inv_PAIDTV,Impr_PAIDTV,Inv_PROGRAMATICA,Impr_PROGRAMATICA,Inv_SEARCH,Impr_SEARCH,Inv_SOCIAL,Impr_SOCIAL,Inv_YOUTUBE,Impr_YOUTUBE,ipca,desemprego,indice_confianca_consumidor,leads
2023-01-01,7838.78,77607,20688.17,3435598,440003.20,0,38786.40,0,0.00,0,39335.69,101728,948.69,102836,0.00,0,0.0054,0.088,125.38,138
2023-01-02,9026.01,89362,23423.94,2226043,709436.00,0,18752.80,0,0.00,0,48717.05,129620,8842.30,2065196,0.00,0,0.0054,0.088,125.38,304
2023-01-03,8150.04,80690,26549.45,6112203,0.00,0,18752.80,0,2811.05,1515078,46535.32,125131,31591.34,9315179,0.00,0,0.0054,0.088,125.38,422
2023-01-04,8201.10,81205,38080.94,6338938,0.00,0,18752.80,0,17143.50,9500682,45756.07,150522,41395.61,10780715,1970.81,467998,0.0054,0.088,125.38,341
2023-01-05,8050.09,79703,36964.51,11614856,0.00,0,18752.80,0,17536.34,11916143,45878.74,131764,45053.00,10915591,6299.75,1841105,0.0054,0.088,125.38,318
2023-01-06,8357.68,82751,33146.61,6471588,0.00,0,14880.00,0,15231.14,10647012,40150.32,119200,48844.84,11549438,5398.05,1375426,0.0054,0.088,125.38,316
2023-01-07,8159.98,80798,36310.89,6433239,0.00,0,8736.00,0,17305.26,12917962,42218.70,118545,52735.16,14087631,5391.83,1561115,0.0054,0.088,125.38,275
2023-01-08,8081.78,80027,37342.70,5210013,0.00,0,8736.00,0,18128.06,13894803,40862.55,122421,54580.37,16570210,5327.80,1467230,0.0054,0.088,125.38,242
2023-01-09,7977.61,78988,27468.17,4909433,0.00,0,8736.00,0,20723.75,15172350,48868.33,125242,49587.40,14359568,5717.92,1671425,0.0054,0.088,125.38,267
2023-01-10,8129.65,80490,23745.72,3528406,0.00,0,8736.00,0,20391.94,15080808,48819.40,128653,52295.87,12776028,5467.07,1683224,0.0054,0.088,125.38,318
2023-01-11,8360.29,82770,27606.00,4672958,0.00,0,8736.00,0,19325.26,14644484,38085.88,118077,51218.37,12013909,5763.21,1679758,0.0054,0.088,125.38,274
2023-01-12,7851.60,77745,21475.23,3980746,0.00,0,8736.00,0,23602.74,17744453,48105.97,134834,51208.30,11473777,4618.65,1636029,0.0054,0.088,125.38,273
